,Customer,DBA Name,TDLR Number,City,State,Zip code
1,CALIBER WRECKER SERVICE LLC,,006598046C (Insurance not applied !),CHANNELVIEW,TX,77530
2,1ST CHOICE WRECKER SERVICE,"1ST CHOICE PAINT & BODY, INC",006096604C,TERRELL,TX,75160
3,1ST CHOICE WRECKER SERVICE,"1ST CHOICE PAINT & BODY, INC.",0612137VSF,TERRELL,TX,75160
4,1ST CHOICE WRECKER SERVICE LLC,,006529369C,SILSBEE,TX,77656
5,1ST CHOICE WRECKER SERVICE LLC,,0652937VSF,SILSBEE,TX,77656
6,1ST CHOICE WRECKER SERVICE LLC,,0655000VSF,SILSBEE,TX,77656
7,1STCHOICEWRECKERSERVICELLC,,0654581VSF,SILSBEE,TX,77656
8,24 HOUR WRECKER SERVICE INC.,,005052021C,LANCASTER,TX,75146
9,"24 HOUR WRECKER SERVICE, INC",,0514204VSF,LANCASTER,TX,75146
10,24/7 WRECKER SERVICE LLC,,006551087C,SAN BENITO,TX,78586
11,24/7 WRECKER SERVICE LLC,,0659192VSF,SAN BENITO,TX,78586
12,290 WRECKER SERVICE INC,HWY 290 WRECKER,0656637VSF,HOCKLEY,TX,77447
13,290 WRECKER SERVICE INC.,HWY 290 WRECKER,0650616VSF,HOCKLEY,TX,77447
14,"290 WRECKER SERVICE, INC.",HWY 290 WRECKER,0545753VSF,HOCKLEY,TX,77447
15,"290 WRECKER SERVICE, INC.",HWY 290 WRECKER,005697854C,WALLER,TX,77484
16,"290 WRECKER SERVICE, INC.",HWY 290 WRECKER SERVICE,0657944VSF (Insurance not applied !),HOCKLEY,TX,77447
17,"3 ACES WRECKER SERVICE, LLC",,006576510C,WALLISVILLE,TX,77597
18,"3 ACES WRECKER SERVICE, LLC",,0657711VSF,WALLISVILLE,TX,77597
19,"3 ACES WRECKER SERVICE, LLC",,0657712VSF,WALLISVILLE,TX,77597
20,"3 ACES WRECKER SERVICE, LLC",,0657713VSF,WALLISVILLE,TX,77597
22,A & A AUTO & WRECKER SERVICE,ALFONSO FLORES JR,0000039432,EDINBURG,TX,78542
23,A & A AUTO & WRECKER SERVICE,,0000031VSF,EDINBURG,TX,78539
24,A & A WRECKER,,005683182C,AUSTIN,TX,78722
25,A & A WRECKER AND RECOVERY L.L.C.,,0568645VSF,AUSTIN,TX,78722
26,A & A WRECKER AND RECOVERY L.L.C.,,0653350VSF,AUSTIN,TX,78722
27,A & D WRECKER SERVICE,,006600078C,LA MARQUE,TX,77568
28,A & H WRECKER SERVICE LLC,A&H WRECKER SERVICE,006543241C (Expired!),SOUTH HOUSTON,TX,77587
29,A & I WRECKER SERVICE,,005266963C,HOUSTON,TX,77012
30,A & L WRECKER,,006415434C,DEER PARK,TX,77536
31,A & M WRECKER SERVICE LLC,,006490059C,ROSENBERG,TX,77471
32,A & M WRECKER SERVICE LLC,,0649006VSF,ROSENBERG,TX,77471
33,A & R WRECKER SERVICE,,0648812VSF,DONNA,TX,78537
34,A & S WRECKER SERVICE,A & S WRECKER SERVICE,006598236C,EL CAMPO,TX,77437
35,A B C WRECKER SERVICE INC,,0577127VSF,WACO,TX,76708
36,"A WRECKER SERVICE,LLC",A WRECKER SERVICE,006060211C,STAFFORD,TX,77477
37,A&H WRECKER SERVICE LLC,,006592051C,SOUTH HOUSTON,TX,77587
38,A&P BROTHER'S WRECKER SERVICES INC,,006560024C,BROOKSHIRE,TX,77423
39,A&R WRECKER SERVICE,FELIPE HERNANDEZ III,006488096C,DONNA,TX,78537
40,A&R WRECKER SERVICE LLC,,006594763C,POTEET,TX,78065
41,"A-1 WRECKER SERVICE, LLC",,006181060C,FORT WORTH,TX,76116
43,"A-1 WRECKER SERVICE, LLC.",,0618108VSF,FORT WORTH,TX,76116
44,A-ACTION WRECKER SERVICE,,005766702C,FORT WORTH,TX,76105
45,A-EXCELLENCE WRECKER SERVICE,,0660086VSF,GEORGETOWN,TX,78626
46,A-EXCELLENCE WRECKER SERVICE INC.,,006598437C,GEORGETOWN,TX,78626
47,A. MARTINEZ WRECKER SERVICE LLC,,006590061C,HOUSTON,TX,77023
48,A. MARTINEZ WRECKER SERVICE LLC,,006555161C (Expired!),HOUSTON,TX,77023
49,A.S.A.P. WRECKER SERVICE INC,,006239524C,EL PASO,TX,79932
50,A1 QUICK STAR WRECKER SERVICE,,005629226C,SAN ANTONIO,TX,78219
51,AA WRECKER SERVICE,,0536827VSF,FORT WORTH,TX,76148
52,AA WRECKER SERVICE,,0000037359,FORT WORTH,TX,76148
53,"ABBEY'S WRECKER SERVICE, INC.",,005764232C,DALLAS,TX,75208
54,"ABBEY'S WRECKER SERVICE, INC.",,0576424VSF,DALLAS,TX,75208
55,ABC WRECKER SERVICE INC.,,005767853C,WACO,TX,76708
56,ABI WRECKERS OF TOMBALL,,0640704VSF,MAGNOLIA,TX,77355
57,ABILENE AUTO WRECKING,DBA. ABILENE AUTO WRECKING,005059531C,ABILENE,TX,79601
58,ABREE'S WRECKER SERVICE LLC,,006589560C,GARCIASVILLE,TX,78547
59,ABSOLUTE WRECKER & STORAGE,,005433557C,CORPUS CHRISTI,TX,78427
60,ACC WRECKER SERVICE LLC,,006600859C,FLORESVILLE,TX,78114
61,ACE 1 WRECKER SERVICE LLC,,0520796VSF,CORPUS CHRISTI,TX,78403
62,ACE 1 WRECKER SERVICE LLC,,005059461C,CORPUS CHRISTI,TX,78403
64,ACE OF GALVESTON WRECKER SERVICE,,0000024VSF,GALVESTON,TX,77552
65,ACE OF GALVESTON WRECKER SERVICE,ACE OF GALVESTON WRECKER SERVICE,0650631VSF (Expired!),GALVESTON,TX,77552
66,ACE WRECKER SERVICE INC,RAY'S WRECKER SERVICE,005820848C,VIDOR,TX,77662
67,"ACE WRECKER SERVICE, INC.",RAY'S WRECKER SERVICE,0582200VSF,VIDOR,TX,77662
68,ACME ROADRUNNER WRECKER,,005839490C,PALESTINE,TX,75801
69,ACTION WRECKER SERVICE INC.,,005945680C,MIDLAND,TX,79703
70,"ACTION WRECKER SERVICE, INC",,0602742VSF,MIDLAND,TX,79703
71,AD WRECKER SERVICE INC.,,0583542VSF,EL PASO,TX,79996
72,AD WRECKER SERVICE INC.,,005020618C,EL PASO,TX,79996
73,AIRLINE WRECKER SERVICE,,005754511C,HOUSTON,TX,77037
74,AL'S WRECKER SERVICE LLC,,006597676C,SAN JUAN,TX,78589
75,ALANIS WRECKER SERVICE,,005080594C,SAN ANTONIO,TX,78201
76,ALFREDO'S WRECKER SERVICE,,005893546C (Suspended!),MERCEDES,TX,78570
77,ALFREDO'S WRECKER SERVICE,,0600864VSF (Suspended!),MERCEDES,TX,78570
78,ALLAN MOTOR WRECKER SERVICE LLC,,0658233VSF,HOUSTON,TX,77060
79,ALLAN MOTORS & WRECKER SERVICE LLC,,006582323C,HOUSTON,TX,77060
80,ALLAN'S WRECKER SERVICE INC,,0656197VSF,INEZ,TX,77968
81,ALLAN'S WRECKER SERVICE INC,,0655342VSF,INEZ,TX,77968
82,ALLAN'S WRECKER SERVICE INC,,0644035VSF,INEZ,TX,77968
83,"ALLAN'S WRECKER SERVICE, INC",,0000094VSF (Expired!),INEZ,TX,77968
85,"ALLAN'S WRECKER SERVICE, INC.",,005062282C,INEZ,TX,77901
86,"ALLAN'S WRECKER SERVICE, INC.",,0659436VSF,INEZ,TX,77968
87,ALLIED WRECKER SERVICE LLC,,0658041VSF,CISCO,TX,76437
88,ALLIED WRECKER SERVICE LLC,,006580421C,CISCO,TX,76437
89,ALLPOINTS WRECKER SERVICE LLC,,006588859C (Suspended!),SPRING,TX,77386
90,"ALLSTATE AUTO WRECKING, INC",,005062742C,GRAND PRAIRIE,TX,75051
91,ALLSTATE WRECKER AND STORAGE,,0651180VSF,HOUSTON,TX,77014
92,ALMA'S WRECKER SERVICE,,006183440C,GARCIASVILLE,TX,78547
93,ALPHA WRECKER SERVICE LLC,,006518130C,HOUSTON,TX,77291
94,ALVIN WRECKER SERVICES LLC,,006592401C (Insurance not applied !),HOUSTON,TX,77039
95,AM/PM WRECKER SERVICE,,006064791C,ELMENDORF,TX,78112
96,AMANDO'S WRECKER SERVICE LLC,,0645979VSF,ROMA,TX,78584
97,"AMANDO'S WRECKER SERVICE, LLC","AMANDO'S WRECKER SERVICE, LLC",006458673C,ROMA,TX,78584
98,ANDREA'S WRECKER SERVICE,,005740888C,HARLINGEN,TX,78551
99,ANDREWS WRECKIN CREW LLC,,006479850C,ANDREWS,TX,79714
100,ANDREWS WRECKIN CREW LLC,,0647986VSF,ANDREWS,TX,79714
101,ARMSTRONGS' WRECKER SERVICE,,005011748C,MARSHALL,TX,75672
102,ARMSTRONGS' WRECKER SERVICE,,0000696VSF,MARSHALL,TX,75672
103,ARTURO JR WRECKER,,006169339C,HOUSTON,TX,77060
104,AT WRECKER SERVICE,,0641319VSF,ALAMO,TX,78516
106,AT WRECKER SERVICE,,0650909VSF,ALAMO,TX,78516
107,AT WRECKER SERVICE,,005902437C,ALAMO,TX,78516
108,ATHENS WRECKER SERVICE,,0000030952,ATHENS,TX,75751
109,ATHENS WRECKER SERVICE,,0653349VSF,ATHENS,TX,75751
110,"ATLASSOLUTIONS, INC DBA RELIABLE WRECKER",RELIABLE WRECKER,006589150C (Suspended!),OVILLA,TX,75154
111,AVILES & GABES WRECKER SERVICE INC,OMG STORAGE #2,0653676VSF,AUSTIN,TX,78728
112,AVILES & GABES WRECKER SERVICE INC,,0633072VSF,AUSTIN,TX,78728
